20:36:21	14b the lean recon (ch16_compile_recon.py — the tape, the dispositions, the probes, the registries, the calendar, the kin by static scan, the running world)	3	0
20:43:06	14b the design (the map's section, lean — write_ch16b_design.py)	0	1
20:43:26	14b the design (the map's section, lean), second (two callee names dropped from the refs-scan check — found by the asks scan)	0	0
20:44:42	14b the callees' facts printed (ch16_callees.py — fifteen runners, every ask the cells will consume)	11	0
20:46:23	14b derive the tape tools (seq_record_ch16.py, seq_stitch_ch16.py — from 13b's forms)	0	0
20:46:23	14b derive the shells (assemble, fastcheck, askcheck, the runner and tape chains — from 13b's forms)	0	0
20:47:56	14b the probe Q43 patched to FAIL (patch_probes_ch16.py)	0	0
20:47:56	14b the probes run to FAIL (readback_probes.py — 42/43 expected: Q43 until the runner and the tape)	18	1
20:48:55	14b the lean exam file (write_ch16_exam.py — the eight Mishnah rows read whole, coverage computed)	0	0
20:49:11	14b the lean exam file, second (the export's one transliterated term glossed; DEU_REWRITE this sitting's own write)	0	0
20:54:49	14b the types, part A (add_types_ch16_a.py — five kinds, fifteen effects, the bribe's row amended)	2	1
20:54:51	14b the types, part B (add_types_ch16_b.py — the daemon and the functions block, the span and fifteen edges, I5 76)	1	0
20:55:52	14b the types, part A, second (the hole pattern narrowed — 'passover_in' had matched passover_in_its_time; the kinds idempotent)	1	1
20:55:53	14b the erection cells by their question keys (ch16_callees2.py)	45	0
21:00:19	14b the types, part A, third (the kinds' hole check made idempotent — the first run had written the five)	2	0
21:01:43	14b the second-tablets callee's bribe scan widened for 16:19's first entry (patch_second_tablets_ch16.py)	0	0
21:03:42	14b derive the runner's part 1 (derive_ch16_part1.py — the helpers from the chapter-15 runner, the ink blocks from ch16_ink.py, the clock and the scans, the callees' facts)	0	1
21:04:29	14b derive the runner's part 1, second (the portable-repo date excluded from the chapter-number check)	0	1
21:04:29	14b the fast checker on part 1 alone (ch16_fastcheck.py — the ink blocks, the clock, the scans, the callees' facts)	0	1
21:07:07	14b derive the runner's part 1, third (the drop check on the code before its comment — a comment's 'A section' had matched the helper A)	0	0
21:07:07	14b the fast checker, parts 1-2 (ch16_fastcheck.py — the ink blocks, the clock, the scans, the callees' facts; the six cells and the table exec'd)	236	0
21:12:33	14b derive the runner's part 1, fourth (the holes' pattern anchored at the effect name — two values naming the asherah had matched)	0	0
21:12:33	14b the fast checker, parts 1-3 (ch16_fastcheck.py)	16	0
21:12:49	14b every ask called (ch16_askcheck.py — the six cells and the table with the DATA rows)	16	0
21:13:05	14b B assemble (CASES empty)	0	0
21:13:05	14b B cases generated from the cells' asks	16	0
21:13:21	14b B assemble (guard 53)	0	0
21:13:21	14b B the runner, first graded run	16	0
21:16:15	14b the dependency gate alone (the demands read before the chain)	3	1
21:16:18	14b the daemon gate alone	3	0
21:18:02	14b the two demands filed from the gate's print (patch_deps_ch16.py — the widow FALSE, 16:10's 'as He blesses you' PARAMETER)	1	1
21:18:03	14b the dependency gate alone, after the filing	2	0
21:15:45	14b B the recorder (INK_CACHE=0)	223	0
21:19:28	14b B the stitcher (no marker)	9	0
21:19:37	14b B the literals patched (DH1-DH5; one retype)	0	0
21:19:37	14b B the tape, first run	299	1
21:24:36	14b B checkpoint_check --all (after the tape)	27	1
21:26:27	14b DD4 retyped from the tape's print (chapter 12's hole scan matched 16:5's block by the substring 'in_the_gates' — 9/10)	0	0
21:26:27	14b the tape, second run (after DD4's retype — a pass after any source change starts at the tape)	132	1
21:28:39	14b checkpoint_check --all (after the second run)	18	1
21:29:33	14b the second-tablets callee's second scan seat widened (LAW_SCAN — found by the tape's second run)	0	0
21:29:33	14b the tape, third run (after the callee's second seat)	46	1
21:30:19	14b checkpoint_check --all (after the third run)	19	1
21:31:41	14b the place-name callee's hole scan widened for chapter 16's statuses at the place (the scan census the instrument)	0	1
21:31:41	14b the tape, fourth run (after the place-name callee's seat)	19	1
21:32:00	14b checkpoint_check --all (after the fourth run)	20	1
21:32:38	14b the place-name callee's hole scan widened, second (the statement's own name _ps read at the grep)	0	0
21:32:38	14b the tape, fifth run (after the place-name callee's seat)	93	0
21:34:11	14b checkpoint_check --all (after the fifth run)	27	1
21:35:28	14b the clean point --check (write_ch16b_point.py — every number from its print)	0	1
21:36:03	14b the clean point --check (write_ch16b_point.py — every number from its print)	0	1
21:36:37	14b the clean point --check, second (the recovery page trimmed under its cap)	0	1
21:36:54	14b the clean point --check, third (two lines trimmed again)	0	0
21:36:54	14b the clean point written (#210, the recovery page, the memory)	0	0
21:34:38	14b the gates chain, one pass (gates_chain.sh — the positions at four workers)	536	1
21:44:40	14b the registration edge filed from the chain's print (patch_deps_ch16b.py — sequence -> festivals_judges, link none)	0	0
21:44:40	14b the dependency gate alone, after the registration edge	2	0
21:45:02	14b Q33 retyped from the chain's print (chapter 12's readback probe matched 16:5's block — 42/43)	0	0
21:45:02	14b the gates chain, one pass (gates_chain.sh — the positions at four workers)	1904	0
22:17:54	14b T the records writer --check (every number parsed from its print)	0	1
22:18:09	14b T the records writer --check, second (the sweep's line read off its own print)	0	1
22:18:27	14b T the records writer --check, third (the recovery page's line trimmed under the cap)	0	0
22:18:27	14b T the records from the sheet in one call (write_ch16b_records.py — the four records and the debt line)	1	0
22:18:28	14b T the commit message built from the prints	0	0
22:18:28	14b T the forms copied (copy_ch16b_forms.py)	0	1
